Ticker,Bond_ID,CF,Year
TUM2024,US91282CHH79,0.9652,2024
TUU2024,US91282CHY03,0.9744,2024
TUZ2024,US91282CJP77,0.9698,2024
TYH2024,US91282CJM47,0.9136,2024
TYM2024,US91282CKC46,0.9069,2024
TYU2024,US91282CKU44,0.9269,2024
TYZ2024,US91282CLJ89,0.8804,2024
FVH2024,US91282CJW29,0.9171,2024
FVM2024,US91282CKP58,0.943,2024
FVU2024,US91282CLC37,0.9171,2024
FVZ2024,US91282CLR06,0.9223,2024
TUH2024,US91282CJS17,0.9713,2024
TUM2024,US91282CKH33,0.9753,2024
TUU2024,US91282CKY65,0.9774,2024
TUZ2024,US91282CLP40,0.959,2024
TYH2024,US91282CJQ50,0.8765,2024
TYM2024,US91282CKF76,0.8971,2024
TYU2024,US91282CKW00,0.904,2024
TYZ2024,US91282CLM19,0.8697,2024
FVH2024,US91282CKD29,0.9264,2024
FVM2024,US91282CKT70,0.9369,2024
FVU2024,US91282CLK52,0.9001,2024
FVZ2024,US91282CMA61,0.9211,2024
TUH2024,US91282CJV46,0.97,2024
TUM2024,US91282CKK61,0.9807,2024
TUU2024,US91282CLB53,0.9721,2024
TUZ2024,US91282CLS88,0.9678,2024
TYH2024,US91282CJX02,0.8902,2024
TYM2024,US91282CKN01,0.9245,2024
TYU2024,US91282CLD10,0.8971,2024
TYZ2024,US91282CLU35,0.8971,2024
FVM2024,US91282CKX82,0.9254,2024
FVU2024,US91282CLN91,0.8934,2024
FVZ2024,US91282CMD01,0.9307,2024
TUH2024,US91282CKB62,0.9754,2024
TUM2024,US91282CKS97,0.9799,2024
TUU2024,US91282CLH24,0.9598,2024
TUZ2024,US91282CLY56,0.9687,2024
